"","MEMBER","PARTY","PVI","2016 D%","2016 R%","CLINTON %","TRUMP %"
"Washington-01","Suzan DelBene","D","D+6","55.4%","44.6%","54.2%","37.8%"
"Washington-02","Rick Larsen","D","D+10","64.0%","36.0%","56.9%","34.8%"
"Washington-03","Jaime Herrera Beutler","R","R+4","38.2%","61.8%","42.5%","49.9%"
"Washington-04","Dan Newhouse","R","R+13","0.0%","100.0%","35.1%","57.9%"
"Washington-05","Cathy McMorris Rodgers","R","R+8","40.4%","59.6%","39.1%","52.2%"
"Washington-06","Derek Kilmer","D","D+6","61.5%","38.5%","51.8%","39.5%"
"Washington-07","Pramila Jayapal","D","D+33","100.0%","0.0%","82.1%","12.2%"
"Washington-08","OPEN (Reichert)","R","EVEN","39.8%","60.2%","47.7%","44.7%"
"Washington-09","Adam Smith","D","D+21","72.9%","27.1%","70.4%","23.4%"
"Washington-10","Denny Heck","D","D+5","58.7%","41.3%","51.2%","39.9%"
"West Virginia-01","David McKinley","R","R+19","31.0%","69.0%","26.4%","68.0%"
"West Virginia-02","Alex Mooney","R","R+17","41.8%","58.2%","29.4%","65.8%"
"West Virginia-03","OPEN (Jenkins)","R","R+23","24.0%","67.9%","23.3%","72.5%"
"Wisconsin-01","Paul Ryan","R","R+5","30.2%","64.9%","41.8%","52.1%"
"Wisconsin-02","Mark Pocan","D","D+18","68.7%","31.2%","64.9%","28.6%"
"Wisconsin-03","Ron Kind","D","EVEN","98.9%","0.0%","44.3%","48.8%"
"Wisconsin-04","Gwen Moore","D","D+25","76.7%","0.0%","73.0%","21.5%"
"Wisconsin-05","Jim Sensenbrenner","R","R+13","29.3%","66.7%","36.7%","56.5%"
